team A,team B,points A,points B
MI,KKR,0,2
DD,RCB,0,2
CSK,KXIP,0,2
SRH,RR,0,2
RCB,MI,2,0
KKR,DD,0,2
RR,KXIP,0,2
CSK,DD,2,0
KXIP,SRH,2,0
RR,CSK,0,2
RCB,KKR,0,2
SRH,DD,2,0
CSK,MI,2,0
RR,RCB,2,0
KXIP,KKR,2,0
DD,MI,2,0
SRH,CSK,0,2
RCB,KXIP,0,2
KKR,RR,0,2
MI,SRH,0,2
CSK,KKR,2,0
MI,KXIP,2,0
DD,RR,0,2
RCB,SRH,2,0
RR,KKR,2,0
DD,CSK,0,2
MI,RCB,2,0
DD,KKR,0,2
KXIP,CSK,2,0
RR,SRH,0,2
RCB,KXIP,0,2
DD,SRH,0,2
MI,CSK,0,2
KXIP,KKR,X,X
RCB,RR,X,X
SRH,MI,X,X
CSK,RR,X,X
RCB,DD,X,X
SRH,KXIP,X,X
KKR,MI,X,X
RR,DD,X,X
CSK,RCB,X,X
SRH,KKR,X,X
RR,MI,X,X
DD,KXIP,X,X
SRH,RCB,X,X
KKR,CSK,X,X
KXIP,MI,X,X
KKR,RCB,X,X
CSK,SRH,X,X
MI,DD,X,X
KXIP,RR,X,X
RCB,CSK,X,X
KKR,SRH,X,X
KXIP,DD,X,X
MI,RR,X,X
